Percent Good,Mean Squared Error,
0,0.983296,
0.0004375,0.976125,
0.0423125,0.973612,
0.109812,0.9646,
0.132375,0.925357,
0.182875,0.874985,
0.218,0.810566,
0.245875,0.751306,
0.262875,0.689251,
0.279625,0.626886,
0.311625,0.573005,
0.334313,0.531804,
0.34875,0.495683,
0.360438,0.465572,
0.37,0.4378,
0.377063,0.407026,
0.383188,0.383652,
0.39125,0.364356,
0.389875,0.38528,
0.401313,0.389609,
0.413375,0.385218,
0.420312,0.363416,
0.431375,0.352957,
0.4405,0.353253,
0.444937,0.365246,
0.450375,0.387513,
0.455188,0.413905,
0.458813,0.420147,
0.467562,0.414449,
0.480875,0.366002,
0.490875,0.317838,
0.495937,0.271501,
0.500437,0.240848,
0.504687,0.213822,
0.507125,0.191304,
0.508687,0.179844,
0.511563,0.191092,
0.517062,0.223693,
0.519563,0.279006,
0.5215,0.346319,
0.523625,0.365034,
0.525375,0.338943,
0.528375,0.304326,
0.53,0.265521,
0.531563,0.234052,
0.5335,0.22254,
0.534875,0.201513,
0.53725,0.162045,
0.538937,0.130617,
0.540375,0.14025,
0.54125,0.160211,
0.54275,0.155091,
0.545813,0.173194,
0.547687,0.183979,
0.547125,0.184384,
0.546625,0.181543,
0.547,0.180403,
0.546875,0.17898,
0.548,0.178371,
0.549125,0.1783,
0.550375,0.176436,
0.550813,0.172964,
0.550625,0.170611,
0.550813,0.169016,
0.551937,0.166585,
0.55325,0.163836,
0.554063,0.161504,
0.554312,0.159314,
0.554875,0.154982,
0.555562,0.149456,
0.556,0.145265,
0.557125,0.142609,
0.557312,0.140501,
0.5575,0.138536,
0.55775,0.141352,
0.557625,0.144683,
0.557375,0.149709,
0.555937,0.160839,
0.555688,0.180609,
0.555562,0.194623,
0.55625,0.20218,
0.556625,0.222683,
0.556688,0.253104,
0.556813,0.268939,
0.556625,0.276319,
0.556813,0.280451,
0.557063,0.283588,
0.557312,0.287017,
0.557937,0.290175,
0.558375,0.293585,
0.55825,0.299152,
0.5585,0.311752,
0.558562,0.323575,
0.560063,0.33067,
0.560312,0.329067,
0.562312,0.324893,
0.5625,0.323614,
0.562375,0.279759,
0.562187,0.255157,
0.562125,0.241493,
0.56225,0.208199,
0.563312,0.182515,
0.563375,0.188254,
0.563,0.16002,
0.562,0.176295,
0.559187,0.186376,
0.553312,0.224919,
0.551438,0.379072,
0.552937,0.596515,
0.556312,0.552879,
0.560125,0.50305,
0.565063,0.450379,
0.567562,0.433034,
0.569125,0.448652,
0.569562,0.43602,
0.569438,0.407523,
0.567813,0.412305,
0.568375,0.481798,
0.570875,0.583268,
0.572125,0.661685,
0.57325,0.763007,
0.573187,0.889868,
0.574562,0.995075,
0.574937,1.05728,
0.57525,1.06024,
0.574375,1.03569,
0.575,1.16,
0.575313,1.35863,
0.575,1.45606,
0.576937,1.45738,
0.576812,1.50338,
0.576812,1.51636,
0.576937,1.53201,
0.578187,1.53516,
0.577937,1.52225,
0.577562,1.4992,
0.577,1.44042,
0.576438,1.37687,
0.576125,1.40336,
0.575313,1.44239,
0.576063,1.43209,
0.576438,1.51373,
0.575562,1.62122,
0.575625,1.59229,
0.575125,1.53979,
0.574187,1.49598,
0.575313,1.47863,
0.575812,1.47608,
0.577,1.49384,
0.577125,1.50295,
0.577937,1.51761,
0.578875,1.56439,
0.578562,1.62725,
0.577937,1.65283,
0.5765,1.6316,
0.576688,1.58472,
0.57775,1.55071,
0.577875,1.57935,
0.577438,1.58026,
0.575,1.53935,
0.574875,1.34116,
0.57475,0.98303,
0.5765,0.751987,
0.576937,0.645505,
0.577375,0.596333,
0.576,0.618349,
0.577125,0.607145,
0.575937,0.538998,
0.575313,0.506045,
0.576,0.476736,
0.577562,0.469885,
0.578375,0.289793,
0.578,0.283927,
0.579625,0.260525,
0.581313,0.177386,
0.580438,0.155713,
0.58075,0.138209,
0.581562,0.135182,
0.583812,0.222342,
0.5865,0.168672,
0.586063,0.172579,
0.587125,0.129531,
0.588625,0.106344,
0.588313,0.107822,
0.587625,0.124028,
0.586688,0.17326,
0.587187,0.0944826,
0.588125,0.0884488,
0.587375,0.0825259,
0.588437,0.290736,
0.58975,0.30994,
0.589562,0.102665,
0.589562,0.0887194,
0.589625,0.0664946,
0.588938,0.0647704,
0.589812,0.0656518,
0.590375,0.0652931,
0.589938,0.062332,
0.590187,0.0617707,
0.59125,0.0607136,
0.592,0.0584687,
0.593437,0.0576814,
0.592063,0.0538694,
0.594313,0.0561777,
0.595812,0.0572861,
0.596625,0.0565506,
0.596063,0.0594707,
0.596375,0.0604268,
0.595313,0.0622789,
0.597063,0.0647444,
0.597313,0.0647735,
0.597125,0.0623421,
0.598125,0.060987,
0.59625,0.0609255,
0.59675,0.059597,
0.5965,0.0569581,
0.596437,0.0546303,
0.594375,0.053199,
0.594938,0.0506817,
0.595187,0.0534137,
0.596125,0.0547443,
0.59625,0.0538086,
0.5965,0.0529958,
0.5965,0.0516798,
0.595938,0.0512567,
0.595688,0.0508908,
0.59525,0.0513901,
0.595437,0.0504107,
0.595812,0.0517552,
0.595562,0.0507806,
0.595437,0.0507513,
0.594688,0.0474596,
0.59425,0.0465337,
0.592562,0.0455536,
0.592938,0.0482327,
0.593375,0.0444792,
0.593875,0.0439223,
0.593187,0.0454137,
0.592562,0.0425323,
0.593125,0.0424184,
0.59225,0.0444288,
0.592562,0.0439058,
0.592562,0.041887,
0.592688,0.038627,
0.591938,0.0405244,
0.592437,0.038503,
0.593437,0.0386731,
0.594437,0.0383733,
0.591812,0.0387352,
0.591313,0.0376792,
0.592375,0.0377014,
0.590875,0.0382101,
0.590688,0.0387802,
0.588688,0.0388589,
0.58925,0.040583,
0.588562,0.0417418,
0.588562,0.0429581,
0.59,0.0413956,
0.590812,0.0474976,
0.58975,0.0454782,
0.590187,0.0465394,
0.592063,0.0465842,
0.59,0.0443189,
0.591063,0.0464221,
0.5925,0.0440864,
0.592187,0.0426018,
0.591812,0.0428986,
0.59175,0.0430524,
0.5915,0.0417621,
0.593688,0.0436698,
0.59325,0.0502127,
0.59425,0.0439213,
0.594,0.042919,
0.593313,0.0466097,
0.59425,0.0471736,
0.594812,0.0388846,
0.594562,0.0388041,
0.594938,0.0388867,
0.594625,0.0400714,
0.595375,0.0381835,
0.594375,0.038582,
0.59425,0.0402304,
0.594375,0.0401846,
0.594063,0.0412983,
0.592812,0.043541,
0.594625,0.0388886,
0.59275,0.0306846,
0.592187,0.0312076,
0.592125,0.028903,
0.591562,0.0378161,
0.591812,0.0383971,
0.59175,0.0352221,
0.592875,0.0399546,
0.59275,0.0359519,
0.59275,0.0341288,
0.593938,0.0282573,
0.5955,0.0275532,
0.595187,0.0255919,
0.595063,0.0257745,
0.59625,0.0259085,
0.595187,0.0414474,
0.59675,0.0490988,
0.596938,0.0310312,
0.594875,0.0311905,
0.596063,0.0273203,
0.596,0.0316881,
0.59475,0.0260335,
0.596938,0.0270546,
0.595187,0.0276649,
0.595375,0.0274819,
0.595938,0.0297764,
0.594688,0.0330189,
0.596,0.0358835,
0.595625,0.032656,
0.593625,0.0253183,
0.594562,0.0258822,
0.597125,0.0262431,
0.5965,0.0257793,
0.595562,0.0267565,
0.596313,0.0256109,
0.595437,0.025941,
0.5955,0.0260481,
0.5965,0.025417,
0.59425,0.0267721,
0.597437,0.0268645,
0.596125,0.0261098,
0.593063,0.0259535,
0.594375,0.0257707,
0.595,0.0249525,
0.593688,0.0245695,
0.590562,0.0302763,
0.594125,0.0275702,
0.594562,0.026876,
0.593688,0.0264854,
0.59125,0.0326641,
0.5965,0.0281475,
0.589187,0.0366391,
0.593,0.0299958,
0.590187,0.031858,
0.592562,0.0294805,
0.589,0.0310435,
0.592688,0.0334031,
0.59,0.0282619,
0.592625,0.025739,
0.592063,0.0246314,
0.591562,0.0257254,
0.590562,0.0253249,
0.5895,0.0245394,
0.591938,0.0237525,
0.593063,0.0229907,
0.592625,0.0222881,
0.59125,0.0216931,
0.592063,0.0223871,
0.590313,0.0220277,
0.590562,0.0208664,
0.590938,0.0207107,
0.59375,0.0210284,
0.592625,0.0199894,
0.591313,0.0197232,
0.58875,0.0181667,
0.59075,0.0178519,
0.588625,0.018413,
0.58875,0.018691,
0.590125,0.0205302,
0.587812,0.0212689,
0.589875,0.0197563,
0.5895,0.0196273,
0.587063,0.0219088,
0.586187,0.0209728,
0.584812,0.0234867,
0.585562,0.0233183,
0.58475,0.0233795,
0.585,0.0231611,
0.586375,0.0222685,
0.583187,0.0252653,
0.585125,0.0236236,
0.586812,0.0229842,
0.5885,0.0211382,
0.58825,0.0214464,
0.587125,0.0201738,
0.5885,0.0199402,
0.589812,0.0176417,
0.589688,0.0176089,
0.59025,0.0156086,
0.588562,0.0163417,
0.588812,0.0154177,
0.590063,0.0172937,
0.590437,0.0161679,
0.588875,0.0162589,
0.586938,0.0166194,
0.589,0.0155442,
0.59,0.0187563,
0.588562,0.0156717,
0.589437,0.0166559,
0.5895,0.0172909,
0.585625,0.0158282,
0.584562,0.0162868,
0.586063,0.0164009,
0.585812,0.0169028,
0.585063,0.0161063,
0.587,0.0155168,
0.587688,0.0168566,
0.585688,0.0166932,
0.587063,0.0169513,
0.588187,0.016872,
0.589938,0.017499,
0.590125,0.0169689,
0.59225,0.017055,
0.5935,0.0164318,
0.592437,0.0165162,
0.591812,0.0174568,
0.59325,0.0170388,
0.5895,0.0166268,
0.590875,0.0168072,
0.590562,0.017029,
0.592375,0.0169686,
0.593812,0.016577,
0.594625,0.015376,
0.593812,0.0162848,
0.592437,0.0161356,
0.5925,0.0161315,
0.59325,0.0165104,
0.5945,0.0158604,
0.594625,0.0163466,
0.59425,0.0161545,
0.594187,0.0176692,
0.592812,0.0159942,
0.589375,0.0167332,
0.587187,0.0168508,
0.588812,0.0156566,
0.590063,0.0159214,
0.591313,0.0159789,
0.593562,0.0173306,
0.59125,0.0172575,
0.592187,0.0171103,
0.593562,0.0165739,
0.594125,0.0163114,
0.593437,0.0161992,
0.595,0.0147044,
0.594,0.0146019,
0.596,0.0132833,
0.594125,0.0126156,
0.595313,0.0119767,
0.594938,0.0119834,
0.594938,0.0112862,
0.594812,0.0115765,
0.59525,0.0109708,
0.593375,0.0107341,
0.593562,0.0109224,
0.595875,0.0102073,
0.596437,0.00988355,
0.594437,0.0102786,
0.593938,0.0107938,
0.594875,0.010798,
0.597437,0.0109931,
0.596875,0.011432,
0.597875,0.0109494,
0.596562,0.0119604,
0.596875,0.0130393,
0.598313,0.0123683,
0.597125,0.0120611,
0.597313,0.0119005,
0.596562,0.0124217,
0.596187,0.0127512,
0.595812,0.0133388,
0.596125,0.0152522,
0.597187,0.0129148,
0.596875,0.0134361,
0.595938,0.0128955,
0.59575,0.0125516,
0.595375,0.0124764,
0.595313,0.0134734,
0.593562,0.0124221,
0.596688,0.0125262,
0.596375,0.0126364,
0.59525,0.0121204,
0.59625,0.0122285,
0.597688,0.0108614,
0.595625,0.00981039,
0.596063,0.0102837,
0.59575,0.0100688,
0.597375,0.0122914,
0.594187,0.0133894,
0.59325,0.013392,
0.594063,0.0133281,
0.594125,0.0133826,
0.591625,0.0138324,
0.594812,0.0139379,
0.593375,0.0128478,
0.595187,0.0125059,
0.592063,0.0125899,
0.595437,0.0130359,
0.59375,0.0124684,
0.595875,0.0122629,
0.594375,0.0122389,
0.593187,0.0121042,
0.592625,0.011954,
0.593375,0.011911,
0.593875,0.011326,
0.591437,0.0122179,
